category_name,chinese_name,description
abies_concolor,白冷杉,"形态特征
高度：树高可达40-58.5米，胸径达99-271厘米。
花序：雌雄同株，雄花长1.6毫米，微红色，紧密地着生在1年生小枝下部；雌球花着生在1年生小枝上部。花期5-6月份。
球果：夏末成熟，长7.5-13厘米，颜色由微绿色变成棕色，成熟球果比重为0.85。
种子：9月份成熟，成熟3周后种子开始散落。
生长环境
原产于北美，天然分布于从太平洋沿岸的山岳地区到科罗拉多州中部，从俄勒冈州的中部到爱达荷州东南部，直至墨西哥北部。
生长于海拔600-3350米的地带，年降水量510-890毫米，通常冬季较长，生长季节较短。
主要价值
木材：白冷杉是通用的、可以满足各种造林目的的树种，木材可以直接用于建筑，也可以用于制作框架和板材。
观赏：幼树广泛用于圣诞树。
药用：树皮、叶和胶脂在传统医学中有一定用途，但缺乏科学证据支持其疗效，且过量摄入可能有害。"
abies_nordmanniana,高加索冷杉,"形态特征
高度：高可达61米，胸围5米。
树皮：幼树树皮光滑灰色，老树树皮粗糙，开裂。
叶片：生于枝下侧的叶水平状排列，上面的叶较短，向前斜伸。
球果：圆柱状，深棕色，种鳞近肾形，种子带翅。
生长环境
原产于小亚细亚高加索地区，生长在源自火成岩和花岗岩的深厚肥沃土壤上。
喜欢良好潮湿但不积水的土壤，在重粘土中生长良好。
喜欢微酸性条件，pH值低至约5，但比该属的许多其他成员更能耐受碱性条件。
主要价值
观赏：高加索冷杉是一种非常具有观赏性的树种，通常作为商业圣诞树种植。
木材：木材柔软而白色，用于建筑或纸浆。
造林：为山地造林和环境绿化、水土保持的优良树种。"
acer_campestre,栓皮槭,"形态特征
高度：高达15（-25）米。
树皮：灰色到浅棕色，随着年份的增长，逐渐形成纵向裂缝。
叶片：叶轮廓宽五边形，基部心形，秋季变黄色。
花序：伞房花序顶生，花淡黄绿色，5瓣，通常雌雄异株。
果实：翅果的翅近水平展开，无毛或短柔毛。
生长环境
生于海拔1600米以下的中温混合林地和栎属林地。
阳性或稍遮荫，在酸性和碱性土壤均能生长，耐干旱。"
acer_ginnala,茶条槭 ,"形态特征
高度：5-6米
树皮：粗糙、微纵裂，灰色，稀深灰色或灰褐色
枝条：小枝细瘦，近于圆柱形，无毛，当年生枝绿色或紫绿色，多年生枝淡黄色或黄褐色
叶片：长圆卵形或长圆椭圆形，长6-10厘米，宽4-6厘米，常较深的3-5裂
花序：伞房花序无毛，雄花与两性花同株，花瓣长圆卵形白色
果实：黄绿色或黄褐色，翅连同小坚果长2.5-3厘米
生长环境与分布
生长于海拔800米以下的丛林中
分布于中国黑龙江、吉林、辽宁等地，在蒙古、朝鲜和日本等国也有分布
应用价值
茶条槭的根、树皮、果实可入药，有祛风湿、活血、清热利咽的功效
观赏价值高，株形自然，可作绿篱及窄街、小巷行道树，丛植、群植于公园、绿地，还可作盆栽
嫩叶可加工制成茶叶，花为良好蜜源，种子可榨油，树皮纤维可代麻做纸浆、人造棉等原料，木材可供细木加工"
acer_griseum,血皮槭,"形态特征
高度：10-20米
树皮：赭褐色，常薄片状脱落
枝条：小枝圆柱形，当年生枝淡紫色，密被淡黄色长柔毛
叶片：小叶厚纸质，卵形、桶圆形或矩圆形，顶端钝尖
花序：聚伞花序被长柔毛，花瓣长圆状倒卵形
果实：果核黄褐色，翅成锐角或近直角
生长环境与分布
多生于海拔1500-2000米的疏林中
产于中国河南西南部、陕西南部、湖北西部、四川东部
应用价值
观赏价值高，适合小型造景，树皮薄纸状剥裂，奇特可观
木材坚硬细致，有光泽，是优良的建筑、家具用材
种子含油率高，优质清香，含较多的蛋白质和脂肪酸"
acer_negundo,梣叶枫,"形态特征
高度：9-15米
叶片：复叶，有小叶片3、5或7枚，叶缘有粗锯齿
果实：翅果，内有种子一粒
生长环境与分布
原产于美国中部及东部，引入欧洲后已广泛栽培
应用价值
观赏价值高，供观赏
树液可制糖浆或糖
木材供制条板箱、家具、纸浆及烧炭用
综上所述，茶条槭、血皮槭和梣叶枫在形态特征、生长环境和应用价值等方面均有显著差异。"
acer_palmatum,鸡爪槭,"形态特征
树皮深灰色，树冠伞形。
枝条开张，细弱，小枝紫或淡紫绿色，老枝淡灰紫色。
叶近圆形，基部心形或近心形。
伞房花萼片卵状披针形，花瓣椭圆形或倒卵形。
幼果紫红色，熟后褐黄色，果核球形，脉纹显著，两翅成钝角。
生长习性
弱阳性树种，耐半阴。
喜温暖湿润的气候和肥沃、湿润而排水良好的土壤。
耐寒性不强，酸性、中性及石灰质土均能适应。
主要价值
观赏价值高，入秋后叶色转为鲜红色，色艳如花。
对二氧化硫和烟尘等抵抗能力和吸收能力均较强，是较好的“四旁”绿化树种。
枝、叶辛，味微苦，能行气止痛，解毒消痛。"
acer_pensylvanicum,条纹槭,"形态特征
翅果的翅以锐角展开或宽展开，小坚果近扁平。
花黄绿色，5瓣，花梗纤细。
翅果长1.8-2.5厘米，翅以锐角展开或宽展开。
生长习性
原产于北美，广泛分布在美国东北部和加拿大东南部。
生长在棕色和灰棕色灰化土，也生长在强风化和浸出的灰化土以及深色黑化土壤上。
喜酸性土壤，深谷阴凉的北坡生长较好。
主要价值
富有观赏性，可作造林的中层树种或林缘树种。
在园林中多配置于大型乔木一角或群植作背景树。"
acer_platanoides,挪威槭,"形态特征
株高9-12米，叶片5裂，叶形秀丽。
早春开花，花黄绿色，伞状花序。
秋季叶色按品种不同可分为金黄、橙红、酱紫、紫红等色。
生长习性
性喜温凉气候，喜酸性土。
在肥沃有机土壤、腐殖质丰富、土壤深厚处生长旺盛。
较其他槭树更适应干燥、高温和碱性土壤，且耐寒性强，可耐-40℃低温。
主要价值
观赏价值高，是小型花园的优良树种，也可作为行道树栽培。
可与多种松柏类植物相搭配种植。"
acer_pseudoplatanus,欧亚槭,"形态特征
树高可达35米或以上，树皮由灰色变为浅棕色。
小枝无毛，紫红色到棕色。
叶纸质，轮廓宽五边形，基部心形，（3-）5裂。
生长习性
生于海拔700-2000米的混合落叶林。
耐干旱，能适应酸性土壤或石灰性介质，能承受含盐的海风。
耐寒极限-32℃。
主要价值
宜作盐碱地绿化的上层树种，海滨城市的行道树。
品种多样，如紫叶欧亚槭、壮丽欧亚槭等，均具有较高的观赏性。"
